Word,AVG
play,0.0003445901426312679
meal,0.0003498558604823175
drink,0.0003511621297020855
hot,0.00035242291090888393
different,0.00035254715660531393
due,0.0003544842254677576
world,0.0003548614255765418
either,0.0003601656762163144
understand,0.000360360407156627
wo,0.0003619254315183044
sit,0.0003624829937386814
saying,0.00036337118437145476
dinner,0.0003677822740884774
reason,0.00037767912454779673
ask,0.00037813537780573996
every,0.0003784667575621081
worst,0.000382995133488742
real,0.00038428281444629166
hope,0.00038491141344418377
bathroom,0.0003855051833072607
five,0.00038654726161390464
taste,0.0003882741224448529
quality,0.00038917131364158363
another,0.0003914997592865152
month,0.00039292628066533324
bought,0.0003952569787707319
fact,0.00039607884686587247
terrible,0.0003966679889180441
start,0.0003994407829055265
cup,0.00040144546161871944
spent,0.0004078306818514223
return,0.00040787194094137524
worth,0.0004084900583335916
selection,0.00041152263810103674
flavor,0.000414378955108765
already,0.0004187604781948168
top,0.00041929820395786006
low,0.0004206985827764278
gave,0.0004212694270491017
car,0.00042209924486470826
feel,0.0004230476381924261
sweet,0.00042625746434636375
guess,0.0004272591814220771
big,0.0004289121106138262
special,0.0004298417654318546
full,0.0004319304639178616
favorite,0.00043603383954196866
slightly,0.00043687075027110074
lady,0.000437206225961783
awesome,0.00043778237352186877
bread,0.0004388852341545028
quite,0.00044304148519484223
book,0.00044984301045771787
however,0.00045131447058536145
show,0.0004574565476123751
mixed,0.00045871473031832696
seriously,0.0004597696302853291
home,0.0004604899652250974
perfectly,0.0004669624604523903
large,0.00047011812691969134
perfect,0.00047069899614535796
move,0.000473932058800784
may,0.00047790994322305966
away,0.0004832038375944544
person,0.00048407916404244277
today,0.0004840856477484659
dry,0.0004867956891530738
running,0.00048828113375506976
hour,0.0004936029094133979
rice,0.0004937814470451772
store,0.0004940223336678376
visit,0.0004979087880485581
put,0.0004996408865267531
free,0.0004997001848835745
without,0.0005043659290045637
fried,0.0005059608568456154
main,0.0005100088671901634
wine,0.0005108883195483272
eye,0.0005115092194132655
slow,0.0005116398558152327
friend,0.0005124000873658692
meat,0.0005127363770760948
shot,0.0005130816150529135
couple,0.0005140892603412142
salt,0.0005146669520686767
tasty,0.0005183710765431009
check,0.0005185538601273177
least,0.0005196492499235178
strip,0.0005244698022714771
beer,0.0005250997735897289
considering,0.0005299400753617118
might,0.0005313182577924539
front,0.0005332800189635961
server,0.0005351600177488043
bite,0.0005403214420584093
note,0.000540538025112899
crab,0.0005414186157273843
summer,0.0005417107003327954
sandwich,0.0005421229585849147
excellent,0.0005434664538304511
beef,0.0005443843447947906
breakfast,0.0005444250935633921
probably,0.0005447097861297581
usually,0.0005465414195057866
atmosphere,0.0005472255703120561
rating,0.0005473455390886235
counter,0.0005477952273847299
ready,0.0005478702267172373
use,0.000549998291004575
let,0.0005510211234157495
run,0.000552715224045295
card,0.0005530207392735055
cream,0.0005562508799008775
supposed,0.0005571032372608968
busy,0.0005572000743809521
almost,0.0005579773342075607
left,0.0005595720465944155
disappointing,0.000566251234579012
portion,0.0005704506096696375
super,0.000570776263146638
enjoy,0.0005722665441231651
for,0.0005726589788444859
else,0.0005731578799454266
watch,0.0005738880918492043
decided,0.0005752945596459712
saw,0.0005793369714206713
dish,0.0005840166426755278
lived,0.0005851345167705393
cold,0.0005873523886937623
everyone,0.0005916284702739603
tell,0.0005943757320570367
save,0.000595234319206366
waitress,0.0006013003178699726
fine,0.0006037837493213676
sorry,0.0006053270984524868
customer,0.0006077106436400906
huge,0.0006119801335221117
dessert,0.0006141798915084314
far,0.000619271744038779
casual,0.0006253872192020467
crowd,0.0006288318670789764
min,0.0006301187256058154
used,0.0006332961876804367
sad,0.000633312223247335
open,0.0006380806637876188
difficult,0.0006406105457369184
management,0.0006410269582270003
spicy,0.0006419515491962747
someone,0.0006504329519561626
potato,0.0006609210729863754
seen,0.0006624466757221999
shrimp,0.0006659175267735659
butter,0.0006696800965092621
stay,0.000673709181054146
spot,0.0006742179194884335
interior,0.0006747583350254623
spa,0.000674759250097282
ice,0.0006762182772270761
maybe,0.0006785411414403363
cool,0.0006787944710473017
previous,0.0006807295500577711
awful,0.0006816626272292683
idea,0.0006841114102803033
stop,0.0006854303405952212
chocolate,0.0006857828828985925
similar,0.0006858713788890346
machine,0.0006877595369228172
extra,0.0006887348890545004
year,0.0006896551877922297
decent,0.0006916012114994578
fit,0.0006920431803497037
drive,0.0006932675725299189
soup,0.0006943287331672856
taken,0.0006952893093483838
part,0.0006967670119413347
happen,0.0006973493938557656
club,0.000698107374407168
feeling,0.0006999126609499288
ride,0.0007002749905534541
size,0.0007007708694439542
party,0.0007012930184187737
ended,0.0007020829098750169
experienced,0.0007027355133655153
basic,0.0007042253526042309
street,0.000708103929793174
later,0.000710384949645439
husband,0.0007104896844023981
family,0.0007110150588839977
name,0.0007115222226884263
cheap,0.00071177543344684
group,0.0007198452493065726
general,0.0007204584880852175
